"V1" "V2" "V3" "V4" "V5"
"1" 0.001657975 0.006594 0.01113 0.0173325 0.03416025
"2" 0.003601475 0.0103975 0.01593 0.0232225 0.04128025
"3" 0.00622895 0.0144175 0.0207 0.028335 0.04876075
"4" 0.008853075 0.01865 0.0254 0.03373 0.056711
"5" 0.011919 0.02276 0.03035 0.0397325 0.0616205
"6" 0.01496875 0.0271075 0.03475 0.045015 0.06936
"7" 0.01775975 0.0310675 0.04025 0.0504925 0.0753142499999999
"8" 0.02187975 0.03553 0.04496 0.0559125 0.0814884999999999
"9" 0.02439825 0.0394375 0.04937 0.06055 0.086371
"10" 0.027578 0.04392 0.05404 0.06573 0.09362175
"11" 0.0313 0.04831 0.05875 0.070605 0.098471
"12" 0.0353685 0.05202 0.06353 0.0769725 0.1046025
"13" 0.0376085 0.05629 0.068605 0.08164 0.112805
"14" 0.04121975 0.061105 0.07283 0.08669 0.1172025
"15" 0.0452295 0.06529 0.07805 0.0922975 0.1249
"16" 0.049349 0.0700075 0.0829 0.0974075 0.1303025
"17" 0.05258975 0.0734825 0.086695 0.1019 0.1337
"18" 0.05550975 0.0786975 0.092685 0.1084 0.143
"19" 0.06000875 0.08295 0.09633 0.1117 0.1459
"20" 0.06316875 0.08664 0.1011 0.117 0.1541025
"21" 0.06661875 0.09077 0.1062 0.1234 0.1578
"22" 0.07037975 0.0960275 0.1116 0.1275 0.1649025
"23" 0.07401 0.1004 0.1159 0.1325 0.1686025
"24" 0.0793885 0.1043 0.1205 0.1387 0.1759025
"25" 0.08233975 0.109 0.1253 0.1435 0.183
"26" 0.0862795 0.1135 0.13035 0.1483 0.1876
"27" 0.0894175 0.1178 0.1349 0.1532 0.1958
"28" 0.092955 0.1221 0.13935 0.158825 0.2001025
"29" 0.09768975 0.1272 0.145 0.1631 0.2046025
"30" 0.1006 0.1311 0.1492 0.168125 0.2110025
"31" 0.105495 0.1357 0.1541 0.174 0.217505
"32" 0.110195 0.1401 0.1583 0.178625 0.2222
"33" 0.1126 0.144 0.1629 0.1833 0.23
"34" 0.1161 0.1484 0.1676 0.1887 0.2306
"35" 0.121 0.1539 0.1727 0.193 0.2394125
"36" 0.1236 0.157275 0.1761 0.1987 0.2463
"37" 0.1299 0.1617 0.18265 0.2049 0.253105
"38" 0.1327 0.166375 0.18745 0.2091 0.256905
"39" 0.1380975 0.1716 0.1919 0.2134 0.260505
"40" 0.1422 0.1755 0.1965 0.219225 0.2696
"41" 0.1446975 0.1808 0.2021 0.2248 0.2742
"42" 0.149395 0.184475 0.2059 0.2283 0.276405
"43" 0.1505 0.1886 0.2109 0.2343 0.2825075
"44" 0.157795 0.1946 0.2158 0.239225 0.2895
"45" 0.1609975 0.1979 0.2198 0.2452 0.295805
"46" 0.1619975 0.201675 0.22415 0.248025 0.3017
"47" 0.1680975 0.2068 0.2288 0.2535 0.3045025
"48" 0.17199 0.2114 0.23485 0.2596 0.3112025
"49" 0.1753 0.2155 0.2394 0.265225 0.3183025
"50" 0.1810975 0.2215 0.2455 0.2699 0.3248025
"51" 0.1863 0.2248 0.249 0.2745 0.3287025
"52" 0.1887975 0.229175 0.2537 0.280125 0.335905
"53" 0.1909925 0.2347 0.2579 0.284125 0.3392125
"54" 0.1957975 0.2379 0.2631 0.2892 0.3453025
"55" 0.201995 0.243775 0.2689 0.2955 0.3501
"56" 0.203495 0.2465 0.2727 0.2997 0.355305
"57" 0.2088975 0.2529 0.2779 0.3047 0.362605
"58" 0.2125975 0.2572 0.2824 0.3111 0.3722025
"59" 0.21839 0.2618 0.287 0.3155 0.3736025
"60" 0.2225975 0.2665 0.2915 0.319 0.3799025
"61" 0.2235 0.2688 0.29575 0.3244 0.3816125
"62" 0.2304875 0.2753 0.3007 0.3293 0.388805
"63" 0.2328975 0.2791 0.3064 0.3358 0.3932025
"64" 0.2358975 0.2831 0.3103 0.339525 0.400105
"65" 0.238895 0.2882 0.3171 0.345625 0.4089075
"66" 0.2458 0.292475 0.31925 0.350625 0.40951
"67" 0.2498975 0.2974 0.3249 0.3559 0.4197025
"68" 0.2541925 0.3008 0.3295 0.3599 0.4225025
"69" 0.256195 0.3077 0.3354 0.3651 0.42782
"70" 0.2595975 0.3105 0.3391 0.3705 0.433305
"71" 0.2644 0.3153 0.34425 0.3746 0.4380175
"72" 0.2697975 0.3193 0.3483 0.3794 0.4457
"73" 0.272195 0.323175 0.3517 0.3847 0.4506025
"74" 0.280785 0.328975 0.3582 0.3894 0.453605
"75" 0.281595 0.3326 0.36235 0.3946 0.4632125
"76" 0.286395 0.3373 0.3677 0.4006 0.4631075
"77" 0.2899 0.3418 0.37305 0.405025 0.472205
"78" 0.2959 0.347 0.3783 0.409625 0.4787
"79" 0.2989 0.3516 0.3817 0.414225 0.479805
"80" 0.3039975 0.3568 0.3873 0.421 0.487105
"81" 0.3060975 0.3601 0.3921 0.427525 0.4968025
"82" 0.3110925 0.3655 0.3974 0.43055 0.4998075
"83" 0.3131975 0.3693 0.4014 0.4344 0.5081025
"84" 0.3173925 0.372775 0.40535 0.4392 0.5107025
"85" 0.3211 0.3776 0.4105 0.4441 0.516805
"86" 0.3293975 0.3817 0.4159 0.449 0.5222025
"87" 0.3319 0.3883 0.4221 0.456025 0.5270025
"88" 0.3371 0.3923 0.4256 0.4601 0.5324025
"89" 0.3369925 0.3969 0.4293 0.465325 0.5379025
"90" 0.343 0.4031 0.43625 0.469825 0.5443075
"91" 0.34879 0.4059 0.4395 0.472825 0.5434075
"92" 0.3536975 0.4108 0.44465 0.478525 0.5530075
"93" 0.356595 0.414 0.4498 0.485 0.5594025
"94" 0.3585 0.4195 0.4537 0.4898 0.5644175
"95" 0.3631975 0.4242 0.45855 0.494825 0.5682025
"96" 0.371695 0.4284 0.46275 0.49945 0.5768025
"97" 0.3713975 0.432275 0.46885 0.5046 0.583505
"98" 0.3778975 0.437875 0.47385 0.5096 0.5824025
"99" 0.3836975 0.4412 0.4754 0.512725 0.59151
"100" 0.3864975 0.4471 0.48275 0.5197 0.59471
"101" 0.3874975 0.451 0.4872 0.523725 0.6014025
"102" 0.3904975 0.4554 0.4912 0.529 0.6064025
"103" 0.398395 0.460075 0.4951 0.533625 0.6122175
"104" 0.4043 0.465375 0.5021 0.539825 0.6179175
"105" 0.4077975 0.4676 0.5038 0.5435 0.6219175
"106" 0.4128 0.473975 0.5105 0.5498 0.6312025
"107" 0.4131975 0.4782 0.51575 0.554025 0.6356175
"108" 0.4208925 0.4825 0.5183 0.5581 0.6382025
"109" 0.4231 0.4858 0.52495 0.5645 0.643805
"110" 0.426 0.4918 0.53 0.5694 0.6506275
"111" 0.4321 0.4964 0.5353 0.573425 0.65541
"112" 0.437185 0.5003 0.5392 0.5788 0.659405
"113" 0.4381 0.5063 0.54475 0.5843 0.6685
"114" 0.4439 0.5106 0.5483 0.587625 0.672805
"115" 0.446395 0.514875 0.5539 0.594 0.675405
"116" 0.4515925 0.5199 0.55795 0.5992 0.683805
"117" 0.4532 0.5241 0.56455 0.604325 0.689505
"118" 0.457195 0.528575 0.5682 0.6107 0.6918025
"119" 0.4634975 0.5311 0.5698 0.6129 0.6982
"120" 0.466195 0.537175 0.57455 0.6176 0.702405
"121" 0.4726 0.5418 0.5819 0.6246 0.7131125
"122" 0.4774925 0.5454 0.58585 0.628425 0.7204125
"123" 0.481595 0.5502 0.5902 0.6334 0.7197125
"124" 0.4839 0.5563 0.5953 0.6386 0.7273075
"125" 0.4909875 0.561075 0.60225 0.643125 0.7336025
"126" 0.492295 0.5655 0.6044 0.6474 0.7324025
"127" 0.4946975 0.569675 0.61005 0.6545 0.7396025
"128" 0.5022 0.5739 0.616 0.6587 0.7481075
"129" 0.5072925 0.5785 0.6194 0.6633 0.7540025
"130" 0.511895 0.5819 0.6234 0.667725 0.7595025
"131" 0.5149 0.5871 0.6286 0.6722 0.7677025
"132" 0.5169 0.591475 0.6348 0.678 0.772105
"133" 0.5220975 0.5964 0.63965 0.684525 0.777905
"134" 0.5292 0.600875 0.64385 0.688025 0.7813
"135" 0.532795 0.607 0.6496 0.6929 0.7893025
"136" 0.5355975 0.6115 0.6533 0.698825 0.7886025
"137" 0.5407 0.614875 0.659 0.7047 0.7981
"138" 0.5426975 0.619075 0.6636 0.7082 0.7937025
"139" 0.5459925 0.624375 0.6688 0.714 0.8095025
"140" 0.549395 0.6281 0.67295 0.7189 0.8177025
"141" 0.5549 0.636 0.6776 0.7244 0.812015
"142" 0.5601975 0.635975 0.6821 0.7289 0.819115
"143" 0.5659975 0.641975 0.6859 0.7324 0.8276075
"144" 0.57088 0.6484 0.6924 0.7367 0.8308125
"145" 0.5713975 0.65245 0.6955 0.742625 0.8419
"146" 0.5785975 0.6558 0.7014 0.750025 0.8408125
"147" 0.5803975 0.659 0.70415 0.7512 0.8504
"148" 0.584995 0.664275 0.7094 0.757625 0.8614025
"149" 0.588095 0.6684 0.7154 0.7648 0.8611
"150" 0.5934 0.6739 0.71965 0.766525 0.869115
"151" 0.596595 0.6802 0.72445 0.77235 0.8771025
"152" 0.5987 0.6842 0.7295 0.7787 0.8787125
"153" 0.6064975 0.6878 0.7351 0.781525 0.882505
"154" 0.6113975 0.6945 0.7391 0.7858 0.88342
"155" 0.616975 0.699075 0.74505 0.793325 0.89471
"156" 0.617795 0.7019 0.748 0.7976 0.8932225
"157" 0.621095 0.7092 0.7525 0.8026 0.89931
"158" 0.62928 0.7133 0.7586 0.808 0.910705
"159" 0.6291975 0.713775 0.7623 0.8132 0.91712
"160" 0.6355975 0.7174 0.76775 0.8188 0.9168025
"161" 0.636895 0.7236 0.7713 0.81985 0.9214
"162" 0.6431975 0.729075 0.7785 0.8267 0.9314075
"163" 0.6484 0.734 0.7819 0.833725 0.9370025
"164" 0.655285 0.737375 0.78595 0.8342 0.94043
"165" 0.65789 0.743475 0.7925 0.8428 0.9493075
"166" 0.6624925 0.746475 0.79405 0.8473 0.9529075
"167" 0.6682 0.7522 0.8009 0.8524 0.9588075
"168" 0.6728 0.756675 0.80585 0.8579 0.964205
"169" 0.6741 0.7613 0.8115 0.8621 0.971705
"170" 0.6793 0.765975 0.815 0.867125 0.96951
"171" 0.6836975 0.7695 0.8184 0.868 0.9794
"172" 0.686195 0.7744 0.82465 0.8781 0.9761
"173" 0.6922975 0.7775 0.8282 0.8829 0.99162
"174" 0.695995 0.7827 0.83275 0.8874 1.001
"175" 0.7036975 0.7886 0.8375 0.8914 0.9938
"176" 0.709195 0.7926 0.8439 0.8971 1.004025
"177" 0.7056 0.7975 0.8482 0.9017 1.008025
"178" 0.7108925 0.8017 0.85345 0.9081 1.016025
"179" 0.716 0.806 0.8571 0.913125 1.021
"180" 0.7192975 0.81 0.8605 0.917125 1.025
"181" 0.7247 0.8149 0.8673 0.923 1.035
"182" 0.729195 0.821775 0.8724 0.931525 1.039
"183" 0.7336975 0.822 0.87335 0.92945 1.045
"184" 0.7393925 0.8287 0.88025 0.9345 1.043
"185" 0.7419925 0.83465 0.8854 0.940025 1.048025
"186" 0.7453975 0.8385 0.8928 0.947 1.06
"187" 0.75279 0.845175 0.89515 0.9512 1.06
"188" 0.7543975 0.8476 0.90065 0.9559 1.064
"189" 0.7546925 0.8492 0.90425 0.9609 1.075
"190" 0.75798 0.8551 0.9083 0.966525 1.081025
"191" 0.767695 0.8614 0.9169 0.972625 1.079
"192" 0.7698925 0.861275 0.9175 0.9741 1.092025
"193" 0.7739775 0.868475 0.92325 0.97945 1.095
"194" 0.7802 0.87625 0.931 0.9861 1.101
