IA 5 min	Densité pédite 0+/m2 (quantiles)				
	5%	25%	50%	75%	95%
1	0,002	0,007	0,012	0,019	0,036
2	0,004	0,012	0,018	0,026	0,046
3	0,007	0,016	0,023	0,031	0,053
4	0,010	0,021	0,029	0,038	0,060
5	0,014	0,026	0,034	0,044	0,069
6	0,017	0,030	0,039	0,050	0,076
7	0,021	0,035	0,045	0,057	0,083
8	0,024	0,040	0,050	0,062	0,090
9	0,028	0,044	0,056	0,069	0,097
10	0,032	0,049	0,061	0,074	0,103
11	0,035	0,054	0,066	0,080	0,111
12	0,039	0,059	0,072	0,087	0,118
13	0,044	0,064	0,077	0,091	0,127
14	0,049	0,069	0,082	0,098	0,132
15	0,052	0,074	0,087	0,103	0,138
16	0,055	0,078	0,093	0,109	0,146
17	0,059	0,084	0,099	0,116	0,153
18	0,063	0,089	0,105	0,121	0,159
19	0,068	0,094	0,110	0,128	0,167
20	0,074	0,099	0,115	0,133	0,172
21	0,078	0,104	0,121	0,140	0,180
22	0,082	0,109	0,125	0,145	0,186
23	0,087	0,115	0,132	0,151	0,192
24	0,091	0,120	0,137	0,157	0,199
25	0,095	0,124	0,142	0,162	0,206
26	0,097	0,129	0,147	0,168	0,212
27	0,103	0,135	0,154	0,174	0,220
28	0,107	0,139	0,158	0,180	0,227
29	0,111	0,145	0,165	0,187	0,232
30	0,117	0,150	0,170	0,192	0,240
31	0,121	0,154	0,175	0,197	0,244
32	0,124	0,159	0,180	0,203	0,251
33	0,129	0,165	0,186	0,209	0,258
34	0,133	0,169	0,190	0,213	0,261
35	0,138	0,174	0,196	0,218	0,266
36	0,140	0,180	0,202	0,226	0,278
37	0,147	0,185	0,207	0,231	0,281
38	0,152	0,192	0,214	0,237	0,288
39	0,155	0,195	0,218	0,243	0,294
40	0,161	0,200	0,223	0,248	0,302
41	0,166	0,206	0,228	0,253	0,309
42	0,169	0,209	0,233	0,259	0,313
43	0,174	0,215	0,240	0,266	0,323
44	0,181	0,221	0,245	0,270	0,326
45	0,186	0,227	0,250	0,276	0,332
46	0,188	0,231	0,257	0,284	0,343
47	0,194	0,238	0,263	0,290	0,345
48	0,198	0,241	0,267	0,294	0,350
49	0,203	0,247	0,274	0,301	0,359
50	0,206	0,251	0,278	0,305	0,365
51	0,213	0,257	0,284	0,312	0,374
52	0,215	0,262	0,289	0,319	0,375
53	0,223	0,268	0,295	0,323	0,384
54	0,227	0,273	0,300	0,329	0,390
55	0,230	0,277	0,306	0,334	0,396
56	0,235	0,282	0,309	0,339	0,401
57	0,238	0,287	0,316	0,346	0,409
58	0,246	0,294	0,322	0,352	0,412
59	0,246	0,297	0,327	0,357	0,421
60	0,251	0,304	0,332	0,363	0,427
61	0,260	0,310	0,338	0,369	0,431
62	0,264	0,315	0,343	0,373	0,439
63	0,269	0,318	0,347	0,378	0,444
64	0,274	0,325	0,354	0,386	0,453
65	0,276	0,329	0,359	0,391	0,458
66	0,279	0,334	0,364	0,395	0,461
67	0,287	0,340	0,371	0,403	0,467
68	0,292	0,344	0,376	0,409	0,476
69	0,294	0,350	0,382	0,415	0,484
70	0,300	0,356	0,387	0,419	0,489
71	0,305	0,360	0,391	0,425	0,491
72	0,311	0,364	0,396	0,430	0,499
73	0,315	0,372	0,403	0,438	0,508
74	0,320	0,375	0,408	0,442	0,512
75	0,326	0,381	0,413	0,447	0,521
76	0,330	0,387	0,419	0,453	0,528
77	0,334	0,391	0,424	0,458	0,528
78	0,338	0,397	0,430	0,465	0,535
79	0,343	0,401	0,434	0,471	0,544
80	0,348	0,407	0,441	0,476	0,554
81	0,355	0,411	0,445	0,482	0,556
82	0,358	0,419	0,451	0,487	0,560
83	0,361	0,422	0,457	0,494	0,569
84	0,362	0,427	0,461	0,498	0,574
85	0,372	0,434	0,469	0,505	0,581
86	0,377	0,438	0,472	0,508	0,584
87	0,380	0,443	0,477	0,515	0,591
88	0,385	0,448	0,482	0,520	0,598
89	0,391	0,453	0,489	0,527	0,603
90	0,397	0,460	0,496	0,533	0,612
91	0,400	0,464	0,500	0,537	0,616
92	0,406	0,470	0,506	0,545	0,623
93	0,408	0,474	0,510	0,550	0,626
94	0,415	0,480	0,518	0,557	0,633
95	0,420	0,486	0,524	0,562	0,643
96	0,426	0,490	0,526	0,566	0,643
97	0,428	0,496	0,534	0,574	0,650
98	0,432	0,499	0,538	0,577	0,658
99	0,439	0,505	0,542	0,583	0,661
100	0,445	0,512	0,550	0,589	0,671
101	0,451	0,515	0,554	0,596	0,680
102	0,451	0,521	0,560	0,600	0,684
103	0,457	0,526	0,565	0,607	0,693
104	0,465	0,532	0,570	0,612	0,700
105	0,468	0,536	0,575	0,614	0,701
106	0,473	0,542	0,582	0,622	0,707
107	0,476	0,547	0,588	0,629	0,718
108	0,480	0,552	0,592	0,634	0,718
109	0,488	0,559	0,599	0,641	0,728
110	0,495	0,563	0,602	0,645	0,730
111	0,500	0,566	0,608	0,650	0,734
112	0,501	0,573	0,614	0,656	0,744
113	0,506	0,578	0,620	0,662	0,749
114	0,511	0,584	0,624	0,667	0,755
115	0,514	0,589	0,630	0,672	0,757
116	0,518	0,594	0,635	0,680	0,773
117	0,526	0,599	0,638	0,681	0,770
118	0,532	0,604	0,647	0,692	0,782
119	0,537	0,611	0,651	0,696	0,781
120	0,539	0,614	0,657	0,701	0,791
121	0,547	0,619	0,663	0,708	0,796
122	0,553	0,626	0,669	0,714	0,802
123	0,551	0,628	0,670	0,716	0,808
124	0,560	0,636	0,678	0,724	0,819
125	0,562	0,643	0,686	0,732	0,822
126	0,570	0,646	0,689	0,734	0,825
127	0,577	0,652	0,697	0,743	0,838
128	0,577	0,655	0,699	0,744	0,839
129	0,584	0,662	0,706	0,753	0,849
130	0,589	0,667	0,713	0,757	0,848
131	0,597	0,673	0,718	0,764	0,854
132	0,596	0,677	0,721	0,770	0,864
133	0,605	0,682	0,726	0,774	0,868
134	0,609	0,688	0,734	0,780	0,883
135	0,613	0,693	0,737	0,783	0,878
136	0,622	0,697	0,743	0,791	0,890
137	0,624	0,701	0,747	0,793	0,895
138	0,630	0,710	0,755	0,802	0,905
139	0,636	0,713	0,759	0,810	0,911
140	0,640	0,720	0,765	0,812	0,911
141	0,646	0,725	0,772	0,819	0,916
142	0,645	0,730	0,775	0,823	0,924
143	0,654	0,736	0,782	0,831	0,931
144	0,657	0,742	0,787	0,837	0,935
145	0,663	0,747	0,795	0,842	0,942
146	0,664	0,750	0,798	0,848	0,946
147	0,673	0,755	0,802	0,853	0,956
148	0,681	0,762	0,810	0,859	0,963
149	0,682	0,768	0,814	0,862	0,966
150	0,684	0,770	0,820	0,870	0,969
151	0,690	0,777	0,824	0,872	0,982
152	0,696	0,783	0,831	0,883	0,981
153	0,704	0,788	0,838	0,887	0,986
154	0,706	0,796	0,844	0,893	0,998
155	0,712	0,799	0,846	0,898	1,002
156	0,722	0,805	0,854	0,906	1,012
157	0,718	0,809	0,857	0,908	1,017
158	0,724	0,814	0,865	0,917	1,023
159	0,730	0,820	0,870	0,921	1,031
160	0,736	0,824	0,874	0,927	1,035
161	0,743	0,829	0,878	0,932	1,041
162	0,747	0,833	0,883	0,937	1,047
163	0,752	0,840	0,889	0,942	1,052
164	0,757	0,846	0,896	0,949	1,056
165	0,760	0,850	0,901	0,953	1,060
166	0,763	0,856	0,906	0,959	1,075
167	0,770	0,863	0,912	0,963	1,072
168	0,771	0,866	0,916	0,973	1,084
169	0,782	0,872	0,925	0,980	1,087
170	0,782	0,878	0,928	0,982	1,089
171	0,791	0,881	0,934	0,988	1,102
172	0,793	0,887	0,938	0,993	1,105
173	0,801	0,892	0,944	1,000	1,112
174	0,808	0,898	0,950	1,005	1,113
175	0,810	0,904	0,953	1,009	1,116
176	0,818	0,911	0,963	1,017	1,129
177	0,815	0,913	0,966	1,021	1,135
178	0,828	0,918	0,970	1,028	1,143
179	0,824	0,923	0,979	1,033	1,143
180	0,834	0,927	0,982	1,038	1,158
181	0,841	0,934	0,987	1,043	1,160
182	0,841	0,939	0,994	1,051	1,159
183	0,848	0,946	0,999	1,057	1,173
184	0,857	0,951	1,003	1,060	1,173
185	0,860	0,957	1,010	1,070	1,182
186	0,864	0,961	1,014	1,073	1,192
187	0,871	0,966	1,021	1,079	1,195
188	0,873	0,970	1,024	1,084	1,197
189	0,877	0,976	1,030	1,088	1,199
190	0,884	0,982	1,038	1,094	1,211
